level,observed
0.05,0.10459801021780048
0.1,0.18365151922559828
0.15,0.2631083624630277
0.2,0.34848077440172087
0.25,0.453482118849153
0.3,0.5442323205162678
0.35,0.6175047055660123
0.39999999999999997,0.6590481312180694
0.44999999999999996,0.6926593170207045
0.49999999999999994,0.7183382629739177
0.5499999999999999,0.7436138746974993
0.6,0.7547727883839742
0.65,0.7672761495025544
0.7,0.7828717397149771
0.75,0.7981984404409788
0.7999999999999999,0.8085506856681903
0.85,0.8162140360311911
0.9,0.8351707448238774
0.95,0.8600430223178274
