scenario_id,encounter_requested,encounter_observed,role,cas,cas_name,perception,dcpa_target_m,tcpa_target_s,own_speed_kn,tgt_speed_kn,own_vessel,tgt_vessel,tgt_status,visibility,initial_range_m,relative_bearing_deg,tgt_heading_deg,min_dist_m,min_intrusion,safe,domain_respected,collision,excess_path_pct,progress_loss_pct,cross_track_m,heading_changes,total_alteration_deg,crossed_ahead,detection_rate,track_delay_s,tcpa_at_track_ready,mean_pos_error_m,role_flip_rate,encounter,starboard_alteration,substantial_action,early_action,no_cross_ahead,stand_on_held,compliance
head_on_0071,head_on,head_on,both_give_way,no_action,No action (baseline),perfect,453.45834584004007,1373.4754178490784,14.63367262716753,13.099982681823949,handysize_bulker,container_feeder,power_driven,good,19598.17265901362,0.3725403092473114,177.98183129196272,453.97959040869654,1.5733909237090715,False,True,False,-1.6130607987332818e-12,1.6130607987332818e-12,0.0,0,0.0,True,1.0,15.0,1358.4754178490784,0.0,0.0,head_on,0.0,0.0,0.0,,,0.0
head_on_0071,head_on,head_on,both_give_way,rule_based,Rule-based COLREGS,perfect,453.45834584004007,1373.4754178490784,14.63367262716753,13.099982681823949,handysize_bulker,container_feeder,power_driven,good,19598.17265901362,0.3725403092473114,177.98183129196272,3353.8588379730677,9.238091615541427,True,True,False,-0.5120047644629244,4.873790663555596,3927.862191485876,56,34.999999999878995,False,1.0,15.0,1358.4754178490784,0.0,0.0,head_on,1.0,1.0,1.0,,,1.0
head_on_0071,head_on,head_on,both_give_way,velocity_obstacle,Velocity obstacle,perfect,453.45834584004007,1373.4754178490784,14.63367262716753,13.099982681823949,handysize_bulker,container_feeder,power_driven,good,19598.17265901362,0.3725403092473114,177.98183129196272,1075.1538293949354,2.7906081825694478,True,True,False,-4.310625215429986,5.8837780799544035,1750.9040732696417,224,41.994267972667956,True,1.0,15.0,1358.4754178490784,0.0,0.0,head_on,1.0,1.0,1.0,,,1.0
head_on_0071,head_on,head_on,both_give_way,mpc,MPC,perfect,453.45834584004007,1373.4754178490784,14.63367262716753,13.099982681823949,handysize_bulker,container_feeder,power_driven,good,19598.17265901362,0.3725403092473114,177.98183129196272,1016.3376402945463,3.4118782581146414,True,True,False,-3.476643540444964,4.270999445504328,1542.2079026534475,175,20.40667704574054,True,1.0,15.0,1358.4754178490784,0.0,0.0,head_on,1.0,0.0,1.0,,,0.6666666666666666
head_on_0072,head_on,head_on,both_give_way,no_action,No action (baseline),perfect,43.85305579121657,799.704192618367,12.01123024521172,8.36579514065836,coastal_tanker,handysize_bulker,power_driven,moderate,8383.146184605865,-0.018586779154683885,180.68477617835515,43.96254965046007,0.24915532865027415,False,False,True,5.895733369807899e-13,-5.895733369807899e-13,0.0,0,0.0,True,1.0,15.0,784.7041926183671,0.0,0.0,head_on,0.0,0.0,0.0,,,0.0
head_on_0072,head_on,head_on,both_give_way,rule_based,Rule-based COLREGS,perfect,43.85305579121657,799.704192618367,12.01123024521172,8.36579514065836,coastal_tanker,handysize_bulker,power_driven,moderate,8383.146184605865,-0.018586779154683885,180.68477617835515,2802.4088967311054,12.498794881106457,True,True,False,-0.2002036724652733,3.9103495064890628,2784.896036407648,54,34.99999845016907,False,1.0,15.0,802.9889931604517,0.0,0.0,head_on,1.0,1.0,1.0,,,1.0
head_on_0072,head_on,head_on,both_give_way,velocity_obstacle,Velocity obstacle,perfect,43.85305579121657,799.704192618367,12.01123024521172,8.36579514065836,coastal_tanker,handysize_bulker,power_driven,moderate,8383.146184605865,-0.018586779154683885,180.68477617835515,1080.416466501031,6.053363467371122,True,True,False,-0.04356065879708919,0.5666360581556102,1058.7954864493086,42,14.999014056139465,True,1.0,15.0,791.9286431395071,0.0,0.0,head_on,1.0,0.0,1.0,,,0.6666666666666666
head_on_0072,head_on,head_on,both_give_way,mpc,MPC,perfect,43.85305579121657,799.704192618367,12.01123024521172,8.36579514065836,coastal_tanker,handysize_bulker,power_driven,moderate,8383.146184605865,-0.018586779154683885,180.68477617835515,1026.9084663555316,5.762168261044836,True,True,False,-0.5853464037877488,1.1559167350658472,1002.3537976710537,80,19.953323726044164,True,1.0,15.0,793.961569001302,0.0,0.0,head_on,1.0,0.0,1.0,,,0.6666666666666666
head_on_0073,head_on,head_on,both_give_way,no_action,No action (baseline),perfect,710.0927265060952,1410.9650128572553,14.531055612420984,11.697996953506244,container_feeder,vlcc,power_driven,good,19044.41901150296,-0.6915564903373398,183.24067892424193,710.2120108455351,2.9511407549338,False,True,False,1.1100422613531253e-12,-1.1100422613531253e-12,0.0,0,0.0,True,1.0,15.0,1395.9650128572555,0.0,0.0,head_on,0.0,0.0,0.0,,,0.0
head_on_0073,head_on,head_on,both_give_way,rule_based,Rule-based COLREGS,perfect,710.0927265060952,1410.9650128572553,14.531055612420984,11.697996953506244,container_feeder,vlcc,power_driven,good,19044.41901150296,-0.6915564903373398,183.24067892424193,4415.674557052226,15.174912977115257,True,True,False,-0.31959750879008614,4.428044315146373,3702.3891914787164,56,34.99999987497775,False,1.0,15.0,1395.9650128572555,0.0,0.0,head_on,1.0,1.0,1.0,,,1.0
head_on_0073,head_on,head_on,both_give_way,velocity_obstacle,Velocity obstacle,perfect,710.0927265060952,1410.9650128572553,14.531055612420984,11.697996953506244,container_feeder,vlcc,power_driven,good,19044.41901150296,-0.6915564903373398,183.24067892424193,1098.2407326426812,4.563334690485644,True,True,False,-0.011919154961042903,0.07013949746945312,387.5738557286132,16,4.999993008562172,True,1.0,15.0,1395.9650128572555,0.0,0.0,head_on,0.0,0.0,1.0,,,0.3333333333333333
head_on_0073,head_on,head_on,both_give_way,mpc,MPC,perfect,710.0927265060952,1410.9650128572553,14.531055612420984,11.697996953506244,container_feeder,vlcc,power_driven,good,19044.41901150296,-0.6915564903373398,183.24067892424193,1006.2870496445738,4.181118491283678,True,True,False,-0.7213236577525642,0.8161764797147139,290.4998128478068,31,13.633172442201056,True,1.0,15.0,1395.9650128572555,0.0,0.0,head_on,1.0,0.0,1.0,,,0.6666666666666666
head_on_0074,head_on,head_on,both_give_way,no_action,No action (baseline),perfect,1336.7383775319965,1785.7302453023701,14.177544911520366,15.43920995469124,container_feeder,container_feeder,power_driven,good,27238.725274023178,3.4989338690401723,181.31597342356622,1336.7846740434622,5.568002684796564,True,True,False,-1.0128488851382802e-12,1.0128488851382802e-12,0.0,0,0.0,True,1.0,15.0,1770.7302453023703,0.0,0.0,head_on,0.0,0.0,0.0,,,0.0
head_on_0074,head_on,head_on,both_give_way,rule_based,Rule-based COLREGS,perfect,1336.7383775319965,1785.7302453023701,14.177544911520366,15.43920995469124,container_feeder,container_feeder,power_driven,good,27238.725274023178,3.4989338690401723,181.31597342356622,1336.7846740434622,5.568002684796564,True,True,False,-1.0128488851382802e-12,1.0128488851382802e-12,0.0,0,0.0,True,1.0,15.0,1770.7302453023703,0.0,0.0,head_on,0.0,0.0,0.0,,,0.0
head_on_0074,head_on,head_on,both_give_way,velocity_obstacle,Velocity obstacle,perfect,1336.7383775319965,1785.7302453023701,14.177544911520366,15.43920995469124,container_feeder,container_feeder,power_driven,good,27238.725274023178,3.4989338690401723,181.31597342356622,1336.7846740434622,5.568002684796564,True,True,False,-1.0128488851382802e-12,1.0128488851382802e-12,0.0,0,0.0,True,1.0,15.0,1770.7302453023703,0.0,0.0,head_on,0.0,0.0,0.0,,,0.0
head_on_0074,head_on,head_on,both_give_way,mpc,MPC,perfect,1336.7383775319965,1785.7302453023701,14.177544911520366,15.43920995469124,container_feeder,container_feeder,power_driven,good,27238.725274023178,3.4989338690401723,181.31597342356622,1336.7846740434622,5.568002684796564,True,True,False,-1.0128488851382802e-12,1.0128488851382802e-12,0.0,0,0.0,True,1.0,15.0,1770.7302453023703,0.0,0.0,head_on,0.0,0.0,0.0,,,0.0
head_on_0075,head_on,head_on,both_give_way,no_action,No action (baseline),perfect,692.7027585021274,1239.7256557167125,9.598112863374617,8.300412009869136,vlcc,handysize_bulker,power_driven,good,11434.875372727998,-4.266543560243877,178.28882712088583,692.7073634901371,1.311101693299467,False,True,False,-1.8649979804253604e-12,1.885492463726738e-12,0.0,0,0.0,True,1.0,15.0,1224.7256557167125,0.0,0.0,head_on,0.0,0.0,0.0,,,0.0
head_on_0075,head_on,head_on,both_give_way,rule_based,Rule-based COLREGS,perfect,692.7027585021274,1239.7256557167125,9.598112863374617,8.300412009869136,vlcc,handysize_bulker,power_driven,good,11434.875372727998,-4.266543560243877,178.28882712088583,2917.3381484255647,4.389771071436317,True,True,False,-3.563924578411558,7.729356505228758,2452.2953696061177,122,40.016552359799924,False,1.0,15.0,1224.7256557167125,0.0,0.0,head_on,1.0,1.0,1.0,,,1.0
head_on_0075,head_on,head_on,both_give_way,velocity_obstacle,Velocity obstacle,perfect,692.7027585021274,1239.7256557167125,9.598112863374617,8.300412009869136,vlcc,handysize_bulker,power_driven,good,11434.875372727998,-4.266543560243877,178.28882712088583,1103.742659230313,2.0901080754345003,True,True,False,-0.10260267736647588,0.2030076399488958,415.45062225191043,0,5.937633931635295,True,1.0,15.0,1224.7256557167125,0.0,0.0,head_on,1.0,0.0,1.0,,,0.6666666666666666
head_on_0075,head_on,head_on,both_give_way,mpc,MPC,perfect,692.7027585021274,1239.7256557167125,9.598112863374617,8.300412009869136,vlcc,handysize_bulker,power_driven,good,11434.875372727998,-4.266543560243877,178.28882712088583,1040.39382199312,1.9692889753252423,True,True,False,-3.1350337620302984,3.256776906116351,369.5476551634465,60,11.295147607670957,True,1.0,15.0,1224.7256557167125,0.0,0.0,head_on,1.0,0.0,1.0,,,0.6666666666666666
head_on_0076,head_on,head_on,both_give_way,no_action,No action (baseline),perfect,1357.7147459872838,1683.9302533174312,14.51877510073827,13.478366030161775,coastal_tanker,handysize_bulker,power_driven,good,24282.343635232723,4.729537394916994,183.1661873190156,1357.8020999316775,7.697718875925837,True,True,False,-8.671072591215096e-13,8.671072591215096e-13,0.0,0,0.0,True,1.0,15.0,1668.9302533174312,0.0,0.0,head_on,0.0,0.0,0.0,,,0.0
