scenario_id,encounter_requested,encounter_observed,role,cas,cas_name,dcpa_target_m,tcpa_target_s,own_speed_kn,tgt_speed_kn,own_vessel,tgt_vessel,tgt_status,visibility,initial_range_m,relative_bearing_deg,tgt_heading_deg,min_dist_m,min_intrusion,safe,domain_respected,collision,excess_path_pct,progress_loss_pct,cross_track_m,heading_changes,total_alteration_deg,crossed_ahead,encounter,starboard_alteration,substantial_action,early_action,no_cross_ahead,stand_on_held,compliance
crossing_0075,crossing,crossing,give_way,mpc,MPC,708.3653630835186,1785.177096941354,8.9126033645599,15.667799825023426,container_feeder,coastal_tanker,power_driven,moderate,17061.813866436292,59.728964186065525,265.966827888127,1048.721837998578,2.979173924315023,True,True,False,-6.678090313549349,8.361232131729254,1141.188911328203,112,35.40687654137534,False,crossing,1.0,1.0,1.0,1.0,,1.0
crossing_0076,crossing,crossing,give_way,no_action,No action (baseline),1255.4971070623396,1361.4852532202272,9.706448026178387,9.286586853827911,handysize_bulker,vlcc,power_driven,moderate,12536.704059589616,25.619741742204525,220.68348624263717,1255.570847515993,3.3809522011003312,True,True,False,1.823916709236784e-13,-1.823916709236784e-13,0.0,0,0.0,True,crossing,0.0,0.0,0.0,0.0,,0.0
crossing_0076,crossing,crossing,give_way,rule_based,Rule-based COLREGS,1255.4971070623396,1361.4852532202272,9.706448026178387,9.286586853827911,handysize_bulker,vlcc,power_driven,moderate,12536.704059589616,25.619741742204525,220.68348624263717,1255.570847515993,3.3809522011003312,True,True,False,1.823916709236784e-13,-1.823916709236784e-13,0.0,0,0.0,True,crossing,0.0,0.0,0.0,0.0,,0.0
crossing_0076,crossing,crossing,give_way,velocity_obstacle,Velocity obstacle,1255.4971070623396,1361.4852532202272,9.706448026178387,9.286586853827911,handysize_bulker,vlcc,power_driven,moderate,12536.704059589616,25.619741742204525,220.68348624263717,1255.570847515993,3.3809522011003312,True,True,False,1.823916709236784e-13,-1.823916709236784e-13,0.0,0,0.0,True,crossing,0.0,0.0,0.0,0.0,,0.0
crossing_0076,crossing,crossing,give_way,mpc,MPC,1255.4971070623396,1361.4852532202272,9.706448026178387,9.286586853827911,handysize_bulker,vlcc,power_driven,moderate,12536.704059589616,25.619741742204525,220.68348624263717,1255.570847515993,3.3809522011003312,True,True,False,1.823916709236784e-13,-1.823916709236784e-13,0.0,0,0.0,True,crossing,0.0,0.0,0.0,0.0,,0.0
crossing_0077,crossing,crossing,give_way,no_action,No action (baseline),1362.5828622847505,1208.3728868168273,14.091472847504434,10.329211001211094,coastal_tanker,coastal_tanker,power_driven,good,8739.064513465599,52.29434868051127,292.72076857277557,1362.6324385988419,3.2716692353758323,True,True,False,-1.060913632721393e-12,1.060913632721393e-12,0.0,0,0.0,True,crossing,0.0,0.0,0.0,0.0,,0.0
crossing_0077,crossing,crossing,give_way,rule_based,Rule-based COLREGS,1362.5828622847505,1208.3728868168273,14.091472847504434,10.329211001211094,coastal_tanker,coastal_tanker,power_driven,good,8739.064513465599,52.29434868051127,292.72076857277557,1362.6324385988419,3.2716692353758323,True,True,False,-1.060913632721393e-12,1.060913632721393e-12,0.0,0,0.0,True,crossing,0.0,0.0,0.0,0.0,,0.0
crossing_0077,crossing,crossing,give_way,velocity_obstacle,Velocity obstacle,1362.5828622847505,1208.3728868168273,14.091472847504434,10.329211001211094,coastal_tanker,coastal_tanker,power_driven,good,8739.064513465599,52.29434868051127,292.72076857277557,1362.6324385988419,3.2716692353758323,True,True,False,-1.060913632721393e-12,1.060913632721393e-12,0.0,0,0.0,True,crossing,0.0,0.0,0.0,0.0,,0.0
crossing_0077,crossing,crossing,give_way,mpc,MPC,1362.5828622847505,1208.3728868168273,14.091472847504434,10.329211001211094,coastal_tanker,coastal_tanker,power_driven,good,8739.064513465599,52.29434868051127,292.72076857277557,1362.6324385988419,3.2716692353758323,True,True,False,-1.060913632721393e-12,1.060913632721393e-12,0.0,0,0.0,True,crossing,0.0,0.0,0.0,0.0,,0.0
crossing_0078,crossing,crossing,stand_on,no_action,No action (baseline),585.0453333314416,1724.1236004082584,13.195122738925264,13.606683983997302,vlcc,coastal_tanker,power_driven,good,9492.806093393601,-65.01898109151038,46.9456877787391,585.0651566867759,0.48235226817236265,False,False,False,-8.795517627244312e-13,8.795517627244312e-13,0.0,0,0.0,False,crossing,,,,,1.0,1.0
crossing_0078,crossing,crossing,stand_on,rule_based,Rule-based COLREGS,585.0453333314416,1724.1236004082584,13.195122738925264,13.606683983997302,vlcc,coastal_tanker,power_driven,good,9492.806093393601,-65.01898109151038,46.9456877787391,597.58197878128,0.5538320479565227,False,False,False,-1.5753042887263955,10.3297254526788,6855.996671208844,63,38.62404737611068,False,crossing,,,,,1.0,1.0
crossing_0078,crossing,crossing,stand_on,velocity_obstacle,Velocity obstacle,585.0453333314416,1724.1236004082584,13.195122738925264,13.606683983997302,vlcc,coastal_tanker,power_driven,good,9492.806093393601,-65.01898109151038,46.9456877787391,1088.1016528895711,0.8985241515044953,True,False,False,-0.18069763388173407,0.5409031090401408,1050.2887122338486,41,11.156531690198905,False,crossing,,,,,0.0,0.0
crossing_0078,crossing,crossing,stand_on,mpc,MPC,585.0453333314416,1724.1236004082584,13.195122738925264,13.606683983997302,vlcc,coastal_tanker,power_driven,good,9492.806093393601,-65.01898109151038,46.9456877787391,1041.0648722195258,0.8585386046912065,True,False,False,-1.5464673485894607,1.6129621082084515,250.78337163790883,44,10.546040183305157,False,crossing,,,,,0.0,0.0
