scenario_id,encounter_requested,encounter_observed,role,cas,cas_name,perception,dcpa_target_m,tcpa_target_s,own_speed_kn,tgt_speed_kn,own_vessel,tgt_vessel,tgt_status,visibility,initial_range_m,relative_bearing_deg,tgt_heading_deg,min_dist_m,min_intrusion,safe,domain_respected,collision,excess_path_pct,progress_loss_pct,cross_track_m,heading_changes,total_alteration_deg,crossed_ahead,detection_rate,track_delay_s,tcpa_at_track_ready,mean_pos_error_m,role_flip_rate,flip_dangerous_rate,flip_conservative_rate,mean_dcpa_sigma,conservative_steps,encounter,starboard_alteration,substantial_action,early_action,no_cross_ahead,stand_on_held,compliance
head_on_0000,head_on,head_on,both_give_way,no_action,No action (baseline),modelled,1038.1832502936181,975.3877446647756,14.030209945598884,9.464618964197363,vlcc,coastal_tanker,power_driven,good,11834.317823638297,5.510909107445061,181.18679233479313,1038.193827283104,1.9654677048213207,True,True,False,1.6824412284568013e-12,-1.6824412284568013e-12,0.0,0,0.0,True,0.001388888888888889,,,10175.025322182453,0.05,0.0,0.05,7372.149646718589,0,head_on,0.0,0.0,0.0,,,0.0
head_on_0000,head_on,head_on,both_give_way,rule_based,Rule-based COLREGS,modelled,1038.1832502936181,975.3877446647756,14.030209945598884,9.464618964197363,vlcc,coastal_tanker,power_driven,good,11834.317823638297,5.510909107445061,181.18679233479313,1038.193827283104,1.9654677048213207,True,True,False,1.6824412284568013e-12,-1.6824412284568013e-12,0.0,0,0.0,True,0.0,,,,0.0,0.0,0.0,,0,head_on,0.0,0.0,0.0,,,0.0
head_on_0000,head_on,head_on,both_give_way,velocity_obstacle,Velocity obstacle,modelled,1038.1832502936181,975.3877446647756,14.030209945598884,9.464618964197363,vlcc,coastal_tanker,power_driven,good,11834.317823638297,5.510909107445061,181.18679233479313,557.3297331069292,0.7251750599356773,False,False,False,-9.545448051397734,13.431659790968599,2065.5031896634396,158,68.14606635160258,True,0.034722222222222224,910.0,148.88778403772142,2026.7573485429352,0.020833333333333332,0.0,0.020833333333333332,1325.6532503797298,0,head_on,1.0,1.0,0.0,,,0.6666666666666666
head_on_0000,head_on,head_on,both_give_way,mpc,MPC,modelled,1038.1832502936181,975.3877446647756,14.030209945598884,9.464618964197363,vlcc,coastal_tanker,power_driven,good,11834.317823638297,5.510909107445061,181.18679233479313,1038.193827283104,1.9654677048213207,True,True,False,-2.9651675674638875,3.2105432509534984,572.6684529814381,104,19.611134096492997,True,0.001388888888888889,,,12762.75602040298,0.10833333333333334,0.0,0.10833333333333334,7122.788339549132,0,head_on,1.0,0.0,0.0,,,0.3333333333333333
head_on_0001,head_on,head_on,give_way,no_action,No action (baseline),modelled,461.369778106762,1174.8967824031902,15.895640493260917,10.794106775332105,handysize_bulker,container_feeder,fishing,moderate,16130.253402134475,-3.1387491437218342,176.29149359219235,461.3719525838031,1.596159952706612,False,True,False,-9.899990573468973e-14,9.899990573468973e-14,0.0,0,0.0,True,0.016666666666666666,1095.0,79.89678240317767,32581.044216410923,0.0,0.0,0.0,1144.455516149968,0,head_on,0.0,0.0,0.0,,,0.0
head_on_0001,head_on,head_on,give_way,rule_based,Rule-based COLREGS,modelled,461.369778106762,1174.8967824031902,15.895640493260917,10.794106775332105,handysize_bulker,container_feeder,fishing,moderate,16130.253402134475,-3.1387491437218342,176.29149359219235,1097.1788005570481,2.714533136620547,True,True,False,-0.6029963758302167,1.4700631272693208,881.4706165382365,61,43.85709585862398,True,0.006944444444444444,,,3317.7836187075804,0.0,0.0,0.0,6503.312773946153,0,head_on,1.0,1.0,0.0,,,0.6666666666666666
head_on_0001,head_on,head_on,give_way,velocity_obstacle,Velocity obstacle,modelled,461.369778106762,1174.8967824031902,15.895640493260917,10.794106775332105,handysize_bulker,container_feeder,fishing,moderate,16130.253402134475,-3.1387491437218342,176.29149359219235,740.3970465462502,2.2154694457565953,False,True,False,-0.17953768283432966,0.5295135226780031,639.2149593941242,54,23.751616472189856,True,0.011111111111111112,1260.0,0.0,55542.010744338724,0.0,0.0,0.0,1282.6759765295212,0,head_on,1.0,0.0,0.0,,,0.3333333333333333
head_on_0001,head_on,head_on,give_way,mpc,MPC,modelled,461.369778106762,1174.8967824031902,15.895640493260917,10.794106775332105,handysize_bulker,container_feeder,fishing,moderate,16130.253402134475,-3.1387491437218342,176.29149359219235,806.257808398162,2.76018865610081,False,True,False,-0.5366101772125116,0.7163027453316473,536.0005990684367,82,18.827699339680578,True,0.004166666666666667,,,14742.280714989693,0.0,0.0,0.0,2089.328844387306,0,head_on,1.0,0.0,0.0,,,0.3333333333333333
head_on_0002,head_on,head_on,both_give_way,no_action,No action (baseline),modelled,669.2070490863715,1227.7279279250586,9.85937773335666,13.0800471363339,vlcc,coastal_tanker,power_driven,good,14503.731617021169,-2.9953288264096463,179.3848766590244,669.7439686014168,1.2674246032994332,False,True,False,1.1970838472147579e-12,-1.1970838472147579e-12,0.0,0,0.0,True,0.008333333333333333,1365.0,0.0,39735.642587179325,0.6138888888888889,0.0,0.6138888888888889,1081.468941333593,0,head_on,0.0,0.0,0.0,,,0.0
head_on_0002,head_on,head_on,both_give_way,rule_based,Rule-based COLREGS,modelled,669.2070490863715,1227.7279279250586,9.85937773335666,13.0800471363339,vlcc,coastal_tanker,power_driven,good,14503.731617021169,-2.9953288264096463,179.3848766590244,886.7213302449965,1.5524164555209083,False,True,False,-4.058949167711288,5.346661926917299,894.5823151070113,123,38.41377738254198,True,0.015277777777777777,1310.0,0.0,41759.69987688222,0.6388888888888888,0.0,0.6361111111111111,1229.146193148723,0,head_on,1.0,1.0,0.0,,,0.6666666666666666
head_on_0002,head_on,head_on,both_give_way,velocity_obstacle,Velocity obstacle,modelled,669.2070490863715,1227.7279279250586,9.85937773335666,13.0800471363339,vlcc,coastal_tanker,power_driven,good,14503.731617021169,-2.9953288264096463,179.3848766590244,849.603228619349,1.5222877871311327,False,True,False,-8.08122186590556,11.292601846624047,1443.1822584580812,163,58.1508221929447,True,0.027777777777777776,1300.0,0.0,39312.00445124645,0.5375,0.0,0.5361111111111111,1125.8463198049365,0,head_on,1.0,1.0,0.0,,,0.6666666666666666
head_on_0002,head_on,head_on,both_give_way,mpc,MPC,modelled,669.2070490863715,1227.7279279250586,9.85937773335666,13.0800471363339,vlcc,coastal_tanker,power_driven,good,14503.731617021169,-2.9953288264096463,179.3848766590244,669.7439686014168,1.2674246032994332,False,True,False,1.1970838472147579e-12,-1.1970838472147579e-12,0.0,0,0.0,True,0.013888888888888888,1355.0,0.0,37560.41623844929,0.6236111111111111,0.0,0.6236111111111111,1139.0255631422222,0,head_on,0.0,0.0,0.0,,,0.0
head_on_0003,head_on,head_on,both_give_way,no_action,No action (baseline),modelled,770.90966754383,669.2208211104165,10.100569713972376,14.482925912585463,container_feeder,handysize_bulker,power_driven,good,8496.272566161799,3.6050233887956544,177.28273547983707,770.972611037122,3.208941286398216,False,True,False,1.752747938346003e-13,-1.752747938346003e-13,0.0,0,0.0,True,0.0375,475.0,194.22082111041652,72394.94395117961,0.04861111111111111,0.0,0.009722222222222222,1568.7236888978987,0,head_on,0.0,0.0,0.0,,,0.0
head_on_0003,head_on,head_on,both_give_way,rule_based,Rule-based COLREGS,modelled,770.90966754383,669.2208211104165,10.100569713972376,14.482925912585463,container_feeder,handysize_bulker,power_driven,good,8496.272566161799,3.6050233887956544,177.28273547983707,305.80935906088064,1.086186265316329,False,True,False,-1.487573259448575,2.7907404680788765,758.7443451429193,76,35.21287203652117,True,0.08055555555555556,490.0,220.36608309744756,121905.93850372087,0.022222222222222223,0.0,0.0125,1464.7486879814796,0,head_on,1.0,1.0,0.0,,,0.6666666666666666
head_on_0003,head_on,head_on,both_give_way,velocity_obstacle,Velocity obstacle,modelled,770.90966754383,669.2208211104165,10.100569713972376,14.482925912585463,container_feeder,handysize_bulker,power_driven,good,8496.272566161799,3.6050233887956544,177.28273547983707,511.3615937411031,1.9101807206110215,False,True,False,-6.334432720912444,8.296635968159206,974.2146897908344,128,62.17768504388644,True,0.06388888888888888,515.0,183.62972754691955,99324.39663401662,0.06527777777777778,0.001388888888888889,0.0375,1610.930144862024,0,head_on,1.0,1.0,0.0,,,0.6666666666666666
head_on_0003,head_on,head_on,both_give_way,mpc,MPC,modelled,770.90966754383,669.2208211104165,10.100569713972376,14.482925912585463,container_feeder,handysize_bulker,power_driven,good,8496.272566161799,3.6050233887956544,177.28273547983707,911.6802672476613,3.5785747374331014,False,True,False,-2.7614003373705893,3.4446543736044157,248.73514614184592,99,33.17095315713462,True,0.025,500.0,220.35958739208937,33592.67697863831,0.04583333333333333,0.0,0.03888888888888889,1366.9443551086815,0,head_on,0.0,1.0,0.0,,,0.3333333333333333
head_on_0004,head_on,head_on,both_give_way,no_action,No action (baseline),modelled,850.5192374600587,1631.534800787962,12.751537425176856,11.092657704984966,vlcc,handysize_bulker,power_driven,good,20031.05798382746,-2.1669496890020996,180.5729884098609,850.727575281735,1.6107727935184355,False,True,False,1.3575097211808356e-12,-1.3575097211808356e-12,0.0,0,0.0,True,0.029166666666666667,1470.0,161.53480078796935,22739.21261898014,0.17222222222222222,0.0,0.17222222222222222,754.8405478918613,0,head_on,0.0,0.0,0.0,,,0.0
head_on_0004,head_on,head_on,both_give_way,rule_based,Rule-based COLREGS,modelled,850.5192374600587,1631.534800787962,12.751537425176856,11.092657704984966,vlcc,handysize_bulker,power_driven,good,20031.05798382746,-2.1669496890020996,180.5729884098609,1331.5364503294054,2.1396214286401034,True,True,False,-2.340788903580355,3.8104698017158176,1224.8575118643937,96,38.79728023575016,True,0.020833333333333332,1745.0,0.0,64130.68871116771,0.5166666666666667,0.0,0.5166666666666667,967.3461198668601,0,head_on,1.0,1.0,0.0,,,0.6666666666666666
head_on_0004,head_on,head_on,both_give_way,velocity_obstacle,Velocity obstacle,modelled,850.5192374600587,1631.534800787962,12.751537425176856,11.092657704984966,vlcc,handysize_bulker,power_driven,good,20031.05798382746,-2.1669496890020996,180.5729884098609,1372.2925889868868,2.5507820803972563,True,True,False,-0.2243777135317987,0.43022399781166243,596.5856788692873,46,10.822606287649812,True,0.004166666666666667,,,4546.821535061557,0.04583333333333333,0.0,0.019444444444444445,5957.131467780285,0,head_on,1.0,0.0,0.0,,,0.3333333333333333
head_on_0004,head_on,head_on,both_give_way,mpc,MPC,modelled,850.5192374600587,1631.534800787962,12.751537425176856,11.092657704984966,vlcc,handysize_bulker,power_driven,good,20031.05798382746,-2.1669496890020996,180.5729884098609,1121.994700741765,1.933374656108607,True,True,False,-3.1945633902030424,3.6880403421684846,587.5784897740534,85,29.646033165560034,True,0.015277777777777777,1460.0,180.6405806312521,23585.483585697504,0.008333333333333333,0.004166666666666667,0.0,815.5174486086847,0,head_on,1.0,0.0,0.0,,,0.3333333333333333
head_on_0005,head_on,head_on,both_give_way,no_action,No action (baseline),modelled,1346.7311689076125,710.8593923408356,15.018776909166728,10.79921932544476,handysize_bulker,vlcc,power_driven,good,9537.045559845446,-7.894655064509616,180.53371843496225,1346.779539013272,4.675846965367556,True,True,False,7.596547421661362e-13,-7.596547421661362e-13,0.0,0,0.0,True,0.04027777777777778,425.0,285.8593923408365,196497.92865573676,0.32083333333333336,0.02638888888888889,0.28194444444444444,1409.421369673626,0,head_on,0.0,0.0,0.0,,,0.0
head_on_0005,head_on,head_on,both_give_way,rule_based,Rule-based COLREGS,modelled,1346.7311689076125,710.8593923408356,15.018776909166728,10.79921932544476,handysize_bulker,vlcc,power_driven,good,9537.045559845446,-7.894655064509616,180.53371843496225,1346.779539013272,4.675846965367556,True,True,False,7.596547421661362e-13,-7.596547421661362e-13,0.0,0,0.0,True,0.04861111111111111,430.0,280.8593923408365,168073.05243921865,0.4375,0.015277777777777777,0.3861111111111111,1642.7888255246146,0,head_on,0.0,0.0,0.0,,,0.0
head_on_0005,head_on,head_on,both_give_way,velocity_obstacle,Velocity obstacle,modelled,1346.7311689076125,710.8593923408356,15.018776909166728,10.79921932544476,handysize_bulker,vlcc,power_driven,good,9537.045559845446,-7.894655064509616,180.53371843496225,1346.779539013272,4.675846965367556,True,True,False,7.596547421661362e-13,-7.596547421661362e-13,0.0,0,0.0,True,0.043055555555555555,455.0,255.85939234083637,191649.65595257902,0.7763888888888889,0.009722222222222222,0.7430555555555556,1771.8128644350945,0,head_on,0.0,0.0,0.0,,,0.0
head_on_0005,head_on,head_on,both_give_way,mpc,MPC,modelled,1346.7311689076125,710.8593923408356,15.018776909166728,10.79921932544476,handysize_bulker,vlcc,power_driven,good,9537.045559845446,-7.894655064509616,180.53371843496225,1794.6260948020943,6.231031333461138,True,True,False,-0.5264266163572626,0.656494543901357,447.4941676145925,80,17.211238640692113,False,0.022222222222222223,390.0,333.2747044674942,138259.78593384835,0.5097222222222222,0.0,0.5013888888888889,1499.8979672950854,0,head_on,1.0,0.0,0.0,,,0.3333333333333333
head_on_0006,head_on,head_on,both_give_way,no_action,No action (baseline),modelled,919.0375252317873,753.0468868947153,14.944498355494579,13.493427892248114,vlcc,handysize_bulker,power_driven,moderate,11054.448686708645,-5.380369659482548,178.71135042146526,919.48154734917,1.7399888714365916,False,True,False,6.976174799293156e-13,-6.976174799293156e-13,0.0,0,0.0,True,0.005555555555555556,935.0,0.0,103691.27709726829,0.12777777777777777,0.0,0.12777777777777777,1482.839140521135,0,head_on,0.0,0.0,0.0,,,0.0
head_on_0006,head_on,head_on,both_give_way,rule_based,Rule-based COLREGS,modelled,919.0375252317873,753.0468868947153,14.944498355494579,13.493427892248114,vlcc,handysize_bulker,power_driven,moderate,11054.448686708645,-5.380369659482548,178.71135042146526,919.48154734917,1.7399888714365916,False,True,False,6.976174799293156e-13,-6.976174799293156e-13,0.0,0,0.0,True,0.008333333333333333,880.0,0.0,25729.880467177278,0.001388888888888889,0.0,0.001388888888888889,1568.6856763449848,0,head_on,0.0,0.0,0.0,,,0.0
head_on_0006,head_on,head_on,both_give_way,velocity_obstacle,Velocity obstacle,modelled,919.0375252317873,753.0468868947153,14.944498355494579,13.493427892248114,vlcc,handysize_bulker,power_driven,moderate,11054.448686708645,-5.380369659482548,178.71135042146526,919.48154734917,1.7399888714365916,False,True,False,6.976174799293156e-13,-6.976174799293156e-13,0.0,0,0.0,True,0.005555555555555556,900.0,0.0,74006.96442897254,0.16944444444444445,0.0,0.1597222222222222,2416.33976877841,0,head_on,0.0,0.0,0.0,,,0.0
head_on_0006,head_on,head_on,both_give_way,mpc,MPC,modelled,919.0375252317873,753.0468868947153,14.944498355494579,13.493427892248114,vlcc,handysize_bulker,power_driven,moderate,11054.448686708645,-5.380369659482548,178.71135042146526,1106.1906535876105,1.9499046983373258,True,True,False,-3.9919554353656963,4.479915057776946,639.8573680308575,83,31.608893138027998,True,0.009722222222222222,895.0,0.0,56687.27766641711,0.7847222222222222,0.0,0.7847222222222222,1435.230330947032,0,head_on,1.0,1.0,0.0,,,0.6666666666666666
head_on_0007,head_on,head_on,give_way,no_action,No action (baseline),modelled,864.1078710099126,1768.7272669007152,12.227828180372452,13.161668791997215,vlcc,container_feeder,fishing,good,23117.63303188457,-1.6708532185790015,180.90913969015895,864.2677510788446,1.636374162319622,False,True,False,-1.3673900775043466e-12,1.3673900775043466e-12,0.0,0,0.0,True,0.02638888888888889,1625.0,143.72726690073145,113950.07674575757,0.0,0.0,0.0,748.4626160845148,0,head_on,0.0,0.0,0.0,,,0.0
head_on_0007,head_on,head_on,give_way,rule_based,Rule-based COLREGS,modelled,864.1078710099126,1768.7272669007152,12.227828180372452,13.161668791997215,vlcc,container_feeder,fishing,good,23117.63303188457,-1.6708532185790015,180.90913969015895,864.2677510788446,1.636374162319622,False,True,False,-1.3673900775043466e-12,1.3673900775043466e-12,0.0,0,0.0,True,0.022222222222222223,1565.0,203.72726690073023,54002.46244173509,0.0,0.0,0.0,4082.1143971247243,0,head_on,0.0,0.0,0.0,,,0.0
head_on_0007,head_on,head_on,give_way,velocity_obstacle,Velocity obstacle,modelled,864.1078710099126,1768.7272669007152,12.227828180372452,13.161668791997215,vlcc,container_feeder,fishing,good,23117.63303188457,-1.6708532185790015,180.90913969015895,970.4127936945247,1.7937437204373428,True,True,False,-3.4987080578662635,4.199082357175756,737.9126222178478,100,33.26605033823547,True,0.034722222222222224,1615.0,153.87427793946978,31116.73405527694,0.0,0.0,0.0,731.669842918359,0,head_on,1.0,1.0,0.0,,,0.6666666666666666
head_on_0007,head_on,head_on,give_way,mpc,MPC,modelled,864.1078710099126,1768.7272669007152,12.227828180372452,13.161668791997215,vlcc,container_feeder,fishing,good,23117.63303188457,-1.6708532185790015,180.90913969015895,1111.113283025994,2.10379423175081,True,True,False,-1.3307192919572461,1.435195412035483,244.3759765317557,58,14.813842109131366,True,0.009722222222222222,2010.0,0.0,31879.514850090804,0.0,0.0,0.0,917.8291305024864,0,head_on,1.0,0.0,0.0,,,0.3333333333333333
head_on_0008,head_on,head_on,both_give_way,no_action,No action (baseline),modelled,315.66903901909916,1302.0807006231698,14.426474936026196,11.39148004630545,coastal_tanker,vlcc,power_driven,good,17293.307642930788,0.004740491570719997,182.38130211505472,316.87591709164934,1.791040803878299,False,True,False,-1.2408063082261904e-12,1.2408063082261904e-12,0.0,0,0.0,True,0.13472222222222222,1115.0,187.08070062316233,34616.12058826301,0.7055555555555556,0.06805555555555555,0.6236111111111111,988.8468074279378,0,head_on,0.0,0.0,0.0,,,0.0
head_on_0008,head_on,head_on,both_give_way,rule_based,Rule-based COLREGS,modelled,315.66903901909916,1302.0807006231698,14.426474936026196,11.39148004630545,coastal_tanker,vlcc,power_driven,good,17293.307642930788,0.004740491570719997,182.38130211505472,1966.6097870543063,9.078589932267692,True,True,False,-0.18757292764756292,2.8762044655276546,2472.474980938721,52,34.99987021212163,True,0.006944444444444444,1460.0,0.0,35783.63035313717,0.6333333333333333,0.009722222222222222,0.5930555555555556,1512.191042987323,0,head_on,1.0,1.0,0.0,,,0.6666666666666666
head_on_0008,head_on,head_on,both_give_way,velocity_obstacle,Velocity obstacle,modelled,315.66903901909916,1302.0807006231698,14.426474936026196,11.39148004630545,coastal_tanker,vlcc,power_driven,good,17293.307642930788,0.004740491570719997,182.38130211505472,1274.8141118223791,6.589805938147641,True,True,False,-0.06053056191749835,0.7193831235768489,1069.972403903773,70,24.829744366053767,True,0.03888888888888889,1035.0,262.6563446904724,40982.92775408636,0.6416666666666667,0.02638888888888889,0.5722222222222222,1239.0631560948723,0,head_on,1.0,0.0,0.0,,,0.3333333333333333
head_on_0008,head_on,head_on,both_give_way,mpc,MPC,modelled,315.66903901909916,1302.0807006231698,14.426474936026196,11.39148004630545,coastal_tanker,vlcc,power_driven,good,17293.307642930788,0.004740491570719997,182.38130211505472,902.3931796082073,5.05164573940576,False,True,False,-0.20237391555826986,0.49009449604822497,776.8420119521654,68,17.997688790436072,True,0.06527777777777778,1065.0,235.05516138423442,37621.805558082895,0.6263888888888889,0.016666666666666666,0.6027777777777777,1034.043466212944,0,head_on,1.0,0.0,0.0,,,0.3333333333333333
head_on_0009,head_on,head_on,both_give_way,no_action,No action (baseline),modelled,211.4811490751874,786.7692504423277,15.151577843246498,15.981780238963857,container_feeder,container_feeder,power_driven,moderate,12600.912831131993,2.025308536713944,182.0720763543511,213.3705675711588,0.8805790061392677,False,False,False,-8.438753890509868e-13,8.438753890509868e-13,0.0,0,0.0,True,0.041666666666666664,715.0,71.76925044232996,62994.74174664119,0.7166666666666667,0.0,0.6944444444444444,1453.4590125809611,0,head_on,0.0,0.0,0.0,,,0.0
head_on_0009,head_on,head_on,both_give_way,rule_based,Rule-based COLREGS,modelled,211.4811490751874,786.7692504423277,15.151577843246498,15.981780238963857,container_feeder,container_feeder,power_driven,moderate,12600.912831131993,2.025308536713944,182.0720763543511,40.21768564388996,0.14122614213445842,False,False,True,-0.7675026745674588,1.1826725348994636,421.6282748674631,64,32.18289914050619,True,0.0625,710.0,91.91048732831925,108372.57473223888,0.7791666666666667,0.0,0.7722222222222223,1431.1440735073945,0,head_on,1.0,1.0,0.0,,,0.6666666666666666
head_on_0009,head_on,head_on,both_give_way,velocity_obstacle,Velocity obstacle,modelled,211.4811490751874,786.7692504423277,15.151577843246498,15.981780238963857,container_feeder,container_feeder,power_driven,moderate,12600.912831131993,2.025308536713944,182.0720763543511,69.21792509000626,0.2854585784476176,False,False,True,-2.0816072565597654,2.2462354060438185,352.6769646291067,61,23.689929649387185,True,0.058333333333333334,735.0,63.87208487742897,121613.60759621448,0.7555555555555555,0.001388888888888889,0.7444444444444445,1423.392341559304,0,head_on,1.0,0.0,0.0,,,0.3333333333333333
head_on_0009,head_on,head_on,both_give_way,mpc,MPC,modelled,211.4811490751874,786.7692504423277,15.151577843246498,15.981780238963857,container_feeder,container_feeder,power_driven,moderate,12600.912831131993,2.025308536713944,182.0720763543511,468.96941524163265,1.400474849323822,False,True,False,-0.5582977994082391,2.5181534030844928,1345.341297452835,71,58.47402691965033,True,0.027777777777777776,815.0,0.0,81547.1260146541,0.7833333333333333,0.0,0.775,1525.3271328435121,0,head_on,1.0,1.0,0.0,,,0.6666666666666666
head_on_0010,head_on,head_on,both_give_way,no_action,No action (baseline),modelled,791.1493838240793,960.5401020963732,12.24901106361681,13.9041490997196,container_feeder,vlcc,power_driven,good,12946.217324284533,2.599034654831186,178.29864041313704,791.1827482732004,3.294785696154393,False,True,False,-5.941875162751441e-13,5.941875162751441e-13,0.0,0,0.0,True,0.09444444444444444,715.0,245.54010209637548,146305.0847202125,0.13194444444444445,0.004166666666666667,0.09166666666666666,1411.1517376898144,0,head_on,0.0,0.0,0.0,,,0.0
